match_id,break_number,half,start_minute,margin_bucket,n_candidates,total_change_adjusted_5,shot_diff_change_adjusted_5,balance_disruption_adjusted_5,sot_diff_change_adjusted_5,next_shot_within_w_adjusted_5,total_change_adjusted_8,shot_diff_change_adjusted_8,balance_disruption_adjusted_8,sot_diff_change_adjusted_8,next_shot_within_w_adjusted_8,total_change_adjusted_10,shot_diff_change_adjusted_10,balance_disruption_adjusted_10,sot_diff_change_adjusted_10,next_shot_within_w_adjusted_10,total_change_display_5,shot_diff_change_display_5,balance_disruption_display_5,sot_diff_change_display_5,next_shot_within_w_display_5,total_change_display_8,shot_diff_change_display_8,balance_disruption_display_8,sot_diff_change_display_8,next_shot_within_w_display_8,total_change_display_10,shot_diff_change_display_10,balance_disruption_display_10,sot_diff_change_display_10,next_shot_within_w_display_10
2,1,H1,23,0,19,-1,1,1,0,0,0,0,0,0,1,-2,-2,2,-1,1,-1,1,1,0,0,-1,1,1,0,0,-2,-2,2,-1,1
2,2,H2,70,0,3,-1,-1,1,-1,0,0,0,0,0,1,0,-2,2,-1,1,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,0,1
3,1,H1,23,-1,8,1,3,3,1,1,1,3,3,0,1,1,3,3,0,1,0,2,2,1,1,0,2,2,0,1,1,3,3,0,1
3,2,H2,69,-1,12,-2,-2,2,-1,0,-1,-1,1,-1,1,0,0,0,-1,1,-2,-2,2,-1,0,-2,-2,2,-1,0,-1,-1,1,-1,1
4,1,H1,24,1,10,1,1,1,1,1,2,2,2,1,1,3,3,3,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
4,2,H2,68,2,16,0,2,2,0,1,0,2,2,0,1,0,2,2,0,1,0,0,0,-1,1,0,0,0,0,1,1,1,1,0,1
5,1,H1,24,-1,6,-1,3,3,1,1,0,2,2,2,1,0,2,2,2,1,-2,2,2,1,0,-2,4,4,2,1,-1,3,3,2,1
5,2,H2,68,-1,19,2,0,0,-1,1,2,0,0,-1,1,2,0,0,-1,1,0,0,0,0,1,2,0,0,-1,1,2,0,0,-1,1
6,2,H2,68,0,19,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7,1,H1,23,0,11,2,-2,2,-1,1,5,1,1,0,1,6,2,2,0,1,2,-2,2,-1,1,1,-1,1,-1,1,2,-2,2,-1,1
7,2,H2,67,-1,18,2,0,0,0,1,3,1,1,0,1,5,3,3,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1
8,1,H1,23,0,11,3,-1,1,0,1,2,-2,2,0,1,2,-2,2,0,1,1,1,1,0,1,2,-2,2,0,1,2,-2,2,0,1
